TITLE,ID,CONTENT_ID,IMAGE_URL,CREATE_TIMESTAMP,IMPRESSIONS,CLICKS,CLICKTHROUGH_RATE_PERCENT,UNIQUE_IMPRESSIONS,UNIQUE_CLICKS,UNIQUE_CLICKTHROUGH_RATE_PERCENT,EXPOSURE_RATING,UTILITY_RATING,date
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,7,1,14.29,1,1,100,7,1,4/11/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,10,0,0,4,0,0,2.5,0,4/12/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,6,0,0,6,0,0,1,0,4/13/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,25,0,0,2,0,0,12.5,0,4/14/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,3,1,33.33,3,1,33.33,1,1,4/15/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,7,0,0,4,0,0,1.75,0,4/16/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,4,0,0,4,0,0,1,0,4/17/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,3,0,0,2,0,0,1.5,0,4/18/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,14,0,0,2,0,0,7,0,4/19/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,15,1,6.67,10,1,10,1.5,1,4/20/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,6,0,0,1,0,0,6,0,4/21/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,4,0,0,3,0,0,1.33,0,4/22/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,2,0,0,1,0,0,2,0,4/23/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,2,0,0,2,0,0,1,0,4/24/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,4,1,25,4,1,25,1,1,4/25/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,2,0,0,2,0,0,1,0,4/26/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,9,0,0,3,0,0,3,0,4/27/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,1,0,0,1,0,0,1,0,4/28/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,4,0,0,1,0,0,4,0,4/29/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,11,0,0,3,0,0,3.67,0,4/30/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,10,0,0,3,0,0,3.33,0,5/1/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,4,0,0,3,0,0,1.33,0,5/2/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,5,0,0,3,0,0,1.67,0,5/3/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,28,4,14.29,10,3,30,2.8,1.33,5/4/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,20,2,10,6,2,33.33,3.33,1,5/5/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,7,0,0,2,0,0,3.5,0,5/6/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,1,0,0,1,0,0,1,0,5/7/2024
ARENA BAGPOLICY,ARENA_BAGPOLICY|348908|ARENA_BAGPOLICY|346343,WNBA CON || ARENA BAGPOLICY || 1704816443.050599,https://cmscdnus.yinzcam.com/Toolbox/CardImage/WNBA_CON/Arena_07BagPolicy.png,45:31:00,15,0,0,5,0,0,3,0,5/8/2024
